target_0,target_1,target_2,target_3,agent_H_NH,tool_mediated,transitivity,touch_2
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,1,0,0,1,0,0,0
6,0,1,0,0,1,0,0,0
7,1,1,0,0,1,0,1,1
8,1,0,0,0,1,0,1,1
9,1,0,0,0,1,0,1,1
10,1,0,0,0,1,1,1,1
11,0,0,0,0,1,0,1,1
12,0,0,0,0,1,0,1,1
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0
18,1,1,0,0,0,0,1,1
19,1,0,0,0,0,0,1,1
20,1,0,0,0,0,0,1,1
21,1,0,0,0,0,0,1,1
22,1,0,0,0,0,0,1,1
23,1,0,0,0,0,0,1,1
24,1,1,0,0,0,0,1,1
25,1,0,0,0,0,0,1,1
26,1,0,0,0,0,0,1,1
27,1,0,0,0,0,0,1,1
28,1,0,0,0,0,0,1,1
29,0,0,1,0,0,0,0,0
30,0,0,1,0,0,0,0,0
31,0,0,1,0,0,0,0,0
32,0,1,1,0,1,0,0,0
33,0,1,1,0,1,0,0,0
34,0,1,1,0,1,0,0,0
35,1,1,0,0,1,0,1,1
36,1,0,0,0,0,0,1,1
37,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0
40,1,1,0,0,0,0,1,1
41,1,0,0,0,0,0,1,1
42,1,0,0,0,0,0,1,1
43,1,1,0,0,0,0,1,1
44,0,1,0,0,0,0,0,0
45,1,1,0,0,0,0,1,1
46,1,0,0,0,0,0,1,1
47,1,1,0,0,0,0,1,1
48,1,1,0,0,0,0,1,1
49,1,0,0,0,0,0,1,1
50,1,0,0,0,0,0,1,1
51,0,0,0,0,0,0,0,0
52,1,0,0,0,1,0,1,0
53,1,1,0,0,1,0,1,0
54,1,1,0,0,1,0,1,0
55,1,1,0,0,1,0,1,0
56,1,1,0,0,1,0,1,1
57,1,0,0,0,1,0,1,1
58,1,0,0,0,1,0,1,0
59,1,0,1,0,1,0,1,0
60,1,0,1,1,1,0,0,0
61,1,0,1,0,1,0,0,0
62,0,0,1,0,1,0,0,0
63,0,0,1,0,1,0,0,0
64,0,0,1,0,1,0,0,0
65,0,0,1,0,1,0,0,0
66,1,0,1,0,1,0,0,0
67,1,0,1,0,1,0,0,0
68,0,1,1,1,1,0,0,0
69,0,0,0,1,1,0,0,0
70,0,0,1,1,1,0,0,0
71,0,0,1,0,1,0,0,0
72,0,0,1,0,1,0,0,0
73,0,0,1,0,1,0,0,0
74,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0
76,1,0,0,0,1,0,1,1
77,1,0,0,0,1,0,1,1
78,1,1,0,0,1,0,1,1
79,1,1,0,0,1,0,1,1
80,1,1,0,0,1,0,1,1
81,1,0,0,0,1,0,1,1
82,1,1,0,1,1,0,1,1
83,0,1,0,1,0,0,1,1
84,0,1,0,1,1,0,0,0
85,0,1,0,0,1,0,0,0
86,0,1,0,1,1,0,0,0
87,0,1,0,1,1,0,0,0
88,0,0,0,1,0,0,0,0
89,0,1,0,1,0,0,0,0
90,0,1,0,1,1,0,0,0
91,0,1,0,1,1,0,0,0
92,1,1,0,1,1,0,1,1
93,1,0,0,1,1,0,1,1
94,1,0,0,1,1,0,1,1
95,1,0,0,1,1,0,1,1
96,0,0,0,1,1,0,0,0
97,0,0,1,1,1,0,0,0
98,0,0,1,1,1,0,0,0
99,0,0,0,1,1,0,0,0
100,0,0,1,1,1,0,0,0
101,0,1,1,1,1,0,0,0
102,0,0,1,1,1,0,0,0
103,0,1,0,1,1,0,1,1
104,0,1,0,1,1,0,0,0
105,0,1,0,1,1,0,0,0
106,0,1,0,1,1,0,0,0
107,0,1,0,1,1,0,0,0
108,0,1,0,1,1,0,0,1
109,1,1,0,1,1,0,1,1
110,1,1,0,1,1,0,1,1
111,1,1,0,0,1,0,1,1
112,0,0,0,0,1,0,0,0
113,1,0,0,0,1,0,1,1
114,1,0,0,0,1,0,1,1
115,0,0,0,0,0,0,0,0
116,0,1,0,0,1,0,0,0
117,1,1,0,0,1,0,1,1
118,1,0,1,0,1,0,1,1
119,1,0,1,0,1,0,1,1
120,1,0,0,0,1,0,1,1
121,1,0,0,0,1,0,1,1
122,0,1,0,0,1,0,1,1
123,0,1,0,0,1,0,1,1
124,0,1,0,0,1,0,1,1
125,0,1,0,0,1,0,0,0
126,0,1,0,0,1,0,0,0
127,0,1,0,0,1,0,0,0
128,1,1,0,0,1,0,1,1
129,1,0,1,0,1,0,1,1
130,1,0,1,0,1,0,1,1
131,1,0,1,0,1,0,1,1
132,0,0,1,0,1,0,1,1
133,0,1,1,0,1,0,1,1
134,0,1,1,0,1,0,0,0
135,0,1,0,0,1,0,0,0
136,0,1,0,0,1,0,0,0
137,0,1,0,0,1,0,0,0
138,0,1,0,0,1,0,0,0
139,0,1,0,0,1,0,1,0
140,0,1,1,0,1,0,1,0
141,1,0,1,0,1,1,1,1
142,1,0,0,0,1,1,1,1
143,1,0,1,0,1,1,1,1
144,0,1,1,0,1,0,0,0
145,1,0,1,0,1,0,1,1
146,1,0,1,0,1,0,1,1
147,1,0,0,0,1,0,1,1
148,1,0,0,0,1,0,1,1
149,1,0,0,0,1,0,1,1
150,1,0,0,0,1,0,1,1
151,1,0,0,0,1,0,1,1
152,1,0,0,0,1,0,1,1
153,1,0,1,0,1,0,1,1
154,1,0,1,0,1,0,1,1
155,0,1,1,0,1,0,0,1
156,1,1,1,0,1,0,0,1
157,1,0,1,0,1,0,1,1
158,1,0,1,0,1,0,1,1
159,1,1,1,0,1,0,1,1
160,0,0,1,0,1,0,0,0
161,0,0,1,0,1,0,0,0
162,0,0,1,0,1,0,0,0
163,0,0,1,0,1,0,0,0
164,0,0,1,0,1,0,0,0
165,0,0,1,0,1,0,0,0
166,0,1,1,0,1,0,0,0
167,0,1,1,0,1,0,0,0
168,0,1,1,0,1,0,0,0
169,1,1,1,0,1,0,1,1
170,0,1,1,0,1,0,0,0
171,0,0,1,0,1,0,0,0
172,0,0,1,0,1,0,0,0
173,0,0,1,0,1,0,0,0
174,1,0,1,0,1,0,1,1
175,1,0,1,0,1,0,1,1
176,1,0,1,0,1,0,1,1
177,0,0,1,0,1,0,0,0
178,0,1,1,0,1,0,0,0
179,0,1,1,0,1,0,0,0
180,0,1,1,0,1,0,0,0
181,0,1,1,0,1,0,0,0
182,0,0,1,0,1,0,0,0
183,1,1,1,0,1,0,1,1
184,1,0,1,0,1,0,1,1
185,0,1,1,0,1,0,1,1
186,0,1,1,0,1,0,1,1
187,1,1,1,0,1,0,1,1
188,1,0,1,0,1,0,1,1
189,0,1,1,0,1,0,0,0
190,0,1,1,0,1,0,0,0
191,0,0,1,0,1,0,0,0
192,1,0,1,0,1,0,1,1
193,1,0,1,0,1,0,1,1
194,1,0,1,0,1,0,1,1
195,1,0,1,0,1,1,1,1
196,1,0,1,0,1,1,1,1
197,1,0,1,0,1,1,1,1
198,1,0,1,0,1,1,1,1
199,1,0,1,0,1,1,1,1
200,1,0,1,0,1,1,1,1
201,1,0,1,0,1,1,1,1
202,1,0,1,0,1,0,1,1
203,0,0,1,0,1,0,0,0
204,0,0,1,0,1,0,0,0
205,0,0,1,0,1,0,0,0
206,0,0,1,0,1,0,0,0
207,1,0,1,0,1,0,1,1
208,1,0,1,0,1,0,1,1
209,1,0,1,0,1,0,1,1
210,1,0,1,0,1,0,1,1
211,0,0,1,0,1,0,0,0
212,0,0,1,0,1,0,0,0
213,0,0,1,0,1,0,0,0
214,0,0,1,0,1,0,0,0
215,0,0,1,0,1,0,0,0
216,0,0,1,0,1,0,0,0
217,0,0,1,0,1,0,0,0
218,0,0,1,0,1,0,0,0
219,0,0,1,0,1,0,0,0
220,0,0,1,0,1,0,0,0
221,1,0,1,0,1,0,1,1
222,1,0,1,0,1,0,1,1
223,0,0,1,0,1,0,0,0
224,0,1,1,0,1,0,0,0
225,0,1,1,0,1,0,0,0
226,0,1,1,0,1,0,0,0
227,0,1,1,0,1,0,0,0
228,0,1,1,0,1,0,0,0
229,0,0,1,0,1,0,0,0
230,0,0,1,0,1,0,0,0
231,0,0,1,0,1,0,0,0
232,0,0,1,0,1,0,0,0
233,1,0,1,0,1,0,1,1
234,1,0,1,0,1,0,1,1
235,1,0,1,0,1,0,1,1
236,0,0,1,0,1,0,0,0
237,0,1,1,0,1,0,0,0
238,0,1,1,0,1,0,0,0
239,0,0,1,0,1,0,0,0
240,1,0,1,0,1,0,1,1
241,1,0,1,0,1,0,1,1
242,1,0,1,0,1,1,1,1
243,1,0,0,0,1,1,1,1
244,1,0,1,0,1,1,1,1
245,1,0,1,0,1,1,1,1
246,1,0,1,0,1,1,1,1
247,1,0,1,0,1,1,1,1
248,1,0,1,0,1,1,1,1
249,1,0,1,0,1,1,1,1
250,1,0,1,0,1,1,1,1
251,1,0,1,0,1,1,1,1
252,1,0,1,0,1,1,1,1
253,1,0,1,0,1,0,1,1
254,1,0,1,0,1,0,1,1
255,1,0,1,0,1,0,0,0
256,0,0,1,0,1,0,0,0
257,0,0,1,0,1,0,0,0
258,0,0,1,0,1,0,0,0
259,0,0,1,0,1,0,0,0
260,0,0,1,0,1,0,0,0
261,0,0,1,0,1,0,0,0
262,0,0,1,0,1,0,0,0
263,0,0,1,0,1,0,0,0
264,0,0,1,0,1,0,0,0
265,0,0,1,0,1,0,0,0
266,0,0,1,0,1,0,0,0
267,0,0,1,0,1,0,0,0
268,0,0,1,0,1,0,0,0
269,0,0,1,0,1,0,0,0
270,0,0,1,0,1,0,0,0
271,0,0,1,0,1,0,0,0
272,0,1,0,0,0,0,0,0
273,1,1,0,1,1,0,1,1
274,1,1,0,1,1,0,1,1
275,1,1,0,1,1,0,1,1
276,1,1,0,1,1,0,1,1
277,1,1,0,1,1,0,1,1
278,1,1,0,1,1,0,1,1
279,1,1,0,1,1,0,1,1
280,1,1,0,1,1,0,1,1
281,1,1,0,1,1,0,1,1
282,1,1,0,1,1,0,1,1
283,1,1,0,1,1,0,1,1
284,1,1,0,1,1,0,1,1
285,1,1,0,1,1,0,1,1
286,1,1,0,1,1,0,1,1
287,1,1,0,0,1,0,1,1
288,1,1,0,0,1,0,1,1
289,1,1,0,1,1,0,1,1
290,1,1,0,1,1,0,1,1
291,1,1,0,0,1,0,1,1
292,1,1,0,0,1,0,1,1
293,1,1,0,0,1,0,1,1
294,1,1,0,0,1,0,1,1
295,1,1,0,1,1,0,1,1
296,1,1,0,1,1,0,1,1
297,1,1,1,1,1,0,1,1
298,1,1,1,1,1,0,1,1
299,1,1,0,0,1,1,1,1
300,1,1,0,0,1,1,1,1
301,1,1,0,0,1,0,1,1
302,1,1,0,0,1,0,1,1
303,1,1,0,1,1,1,1,1
304,1,1,0,0,1,1,1,1
305,1,1,0,0,1,0,1,1
306,1,1,0,0,1,0,1,1
307,1,1,0,0,1,0,1,1
308,1,1,0,0,1,0,1,1
309,1,1,0,0,1,0,1,1
310,1,1,0,0,1,0,1,1
311,1,1,0,0,1,0,1,1
312,1,1,0,1,1,0,1,1
313,1,1,0,0,1,0,1,1
314,1,1,0,1,1,0,1,1
315,1,0,0,1,1,0,1,1
316,1,0,0,0,1,0,1,1
317,1,0,0,0,1,0,1,1
318,1,1,0,0,1,0,1,1
319,0,1,0,0,1,0,0,0
320,0,0,0,0,0,0,0,0
321,0,1,0,1,1,0,0,0
322,1,0,0,1,1,0,1,1
323,1,0,1,1,1,0,1,1
324,1,0,0,1,1,0,1,1
325,1,1,0,1,1,0,1,1
326,0,0,0,1,1,0,1,1
327,0,1,0,1,1,0,1,1
328,0,1,0,1,1,0,1,1
329,1,0,0,1,1,0,1,1
330,1,1,0,1,1,0,1,0
331,1,0,0,1,1,0,1,1
332,1,0,0,0,1,0,1,1
333,1,0,0,0,1,0,1,1
334,1,0,0,1,1,0,1,1
335,1,0,0,1,1,0,1,1
336,1,0,0,0,1,0,1,1
337,1,1,0,0,1,0,1,1
338,1,1,0,0,1,0,1,1
339,1,1,0,0,1,0,1,1
340,1,1,0,0,1,0,1,1
341,1,0,0,0,1,0,1,1
342,1,0,0,0,1,0,1,1
343,1,1,0,0,1,0,0,1
344,1,1,1,0,1,0,1,1
345,1,1,1,1,1,0,1,0
346,0,1,1,1,1,0,0,0
347,0,1,0,1,1,0,0,0
348,0,1,1,1,1,0,0,0
349,0,1,1,1,1,0,0,0
350,1,1,0,0,1,0,1,1
351,1,0,0,0,1,0,1,1
352,1,0,0,0,1,0,1,1
353,1,0,0,0,1,0,1,1
354,0,1,0,1,1,0,0,0
355,0,1,0,1,1,0,0,1
356,0,1,0,1,1,0,0,1
357,0,1,1,1,1,0,0,1
358,0,1,1,1,1,0,0,0
359,0,1,1,1,1,0,0,0
360,1,1,0,1,1,0,1,1
361,1,1,1,1,1,0,1,1
362,1,1,1,0,1,0,1,1
363,1,1,1,0,1,0,1,1
364,0,1,1,0,1,0,0,1
365,0,1,1,0,1,0,0,1
366,0,1,1,0,1,0,1,1
367,0,1,1,0,1,0,1,1
368,0,1,1,0,1,1,1,1
369,0,0,1,0,1,0,1,1
370,0,1,1,0,1,0,0,1
371,0,1,0,0,1,0,0,0
372,0,0,1,0,1,0,0,1
373,0,0,1,0,1,0,0,1
374,0,0,0,1,1,0,0,0
375,0,0,0,1,1,0,0,1
376,0,1,0,1,1,0,0,1
377,0,1,1,1,1,0,0,1
378,0,0,1,0,1,0,0,0
379,1,0,1,0,1,0,1,1
380,0,1,1,0,1,0,0,0
381,0,1,0,0,0,0,0,0
382,0,1,0,1,1,0,0,0
383,0,0,1,1,1,0,0,1
384,0,0,1,1,1,0,0,1
385,1,1,1,1,1,0,1,1
386,1,0,1,0,1,0,1,1
387,1,0,1,0,1,0,1,1
388,1,0,1,0,1,0,1,1
389,1,0,1,0,1,0,1,1
390,1,1,1,1,1,0,1,1
391,1,0,1,0,1,0,1,1
392,0,1,1,0,1,0,0,1
393,0,0,1,0,1,0,0,1
394,0,1,1,0,1,0,0,1
395,0,1,1,0,1,0,0,1
396,0,0,1,0,1,0,0,1
397,0,0,1,0,1,0,0,1
398,0,0,1,0,1,0,0,1
399,0,1,1,0,1,0,0,1
400,0,0,1,0,1,0,0,0
401,0,0,1,0,1,0,0,0
402,0,0,1,0,1,0,0,0
403,0,0,1,0,1,0,0,0
404,0,0,1,0,1,0,0,0
405,0,0,1,0,1,0,0,0
406,0,0,1,0,1,0,0,0
407,0,0,1,0,1,0,0,0
408,0,0,1,0,1,0,0,0
409,0,0,1,0,1,0,0,0
410,0,0,1,0,1,0,0,0
411,0,0,1,0,1,0,0,1
412,0,0,1,0,1,0,0,1
413,0,0,1,0,1,0,0,1
414,0,0,1,0,1,0,0,1
415,0,0,1,0,1,0,0,1
416,0,0,1,0,1,0,0,1
417,0,0,1,0,1,0,0,1
418,0,0,1,0,1,0,0,1
419,0,0,1,0,1,0,0,1
420,0,0,0,1,1,0,0,1
421,0,0,0,1,0,0,0,0
422,0,0,1,1,1,0,0,1
423,0,0,1,0,1,0,0,1
424,0,0,1,0,1,0,0,1
425,0,0,0,1,1,0,0,0
426,0,0,0,1,1,0,0,0
427,0,0,0,1,1,0,0,0
428,0,1,0,1,1,0,0,0
429,1,1,0,1,1,0,1,1
430,1,1,0,1,1,0,1,1
431,0,1,1,1,1,0,0,1
432,0,1,1,0,1,0,0,1
433,0,1,1,0,1,0,0,1
434,0,1,1,0,1,0,0,1
435,0,1,1,0,1,0,0,1
436,1,1,1,1,1,0,1,1
437,1,0,1,1,1,0,1,1
438,1,0,1,1,1,0,1,1
439,1,0,0,1,1,0,1,1
440,0,0,0,1,0,0,0,0
441,0,1,0,1,1,0,0,1
442,1,1,0,0,1,0,1,1
443,1,1,0,1,1,0,1,1
444,0,0,1,1,1,0,0,0
445,1,1,1,0,1,0,1,1
446,1,1,0,1,1,0,1,1
447,1,1,0,1,1,0,1,1
448,1,1,0,1,1,0,1,1
449,1,1,0,0,1,0,1,1
450,1,1,0,0,1,0,1,1
451,1,1,0,0,1,0,1,1
452,1,1,0,1,1,0,1,1
453,1,1,0,0,1,0,1,1
454,1,1,1,0,1,0,1,1
455,1,1,1,0,1,0,1,1
456,1,1,1,0,1,0,1,1
457,1,1,1,0,1,0,1,1
458,1,1,0,0,1,0,1,1
459,1,1,1,0,1,0,1,1
460,1,1,1,0,1,0,1,1
461,1,1,0,0,1,0,1,1
462,1,1,1,0,1,0,1,1
463,1,1,1,0,1,0,1,1
464,1,1,0,0,1,0,1,1
465,1,1,1,0,1,0,1,1
466,1,1,1,0,1,0,1,1
467,1,1,1,0,1,0,1,1
468,1,1,1,0,1,0,1,1
469,1,1,1,0,1,0,1,1
470,1,1,0,0,1,0,1,1
471,1,1,0,0,1,0,1,1
472,1,1,0,0,1,0,1,1
473,1,1,0,0,1,0,1,1
474,1,1,0,0,1,0,1,1
475,1,1,0,1,1,0,1,1
476,1,1,0,1,1,0,1,1
477,1,1,0,1,1,0,1,1
478,1,1,0,1,1,0,1,1
479,1,1,0,1,1,0,1,1
480,1,1,0,0,1,0,1,1
481,1,1,0,0,1,0,1,1
482,1,1,0,1,1,0,1,1
483,1,1,0,1,1,0,1,1
484,1,1,0,0,1,0,1,1
485,1,1,0,0,1,0,1,1
486,1,1,1,0,1,0,1,1
487,1,1,1,0,1,0,1,1
488,1,1,0,0,1,0,0,1
489,0,1,0,0,1,0,0,0
490,0,1,0,0,1,0,0,0
491,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0
493,0,1,0,0,1,0,0,1
494,0,1,0,0,1,0,0,0
495,0,1,0,0,1,0,0,0
496,0,0,0,0,0,0,0,0
497,0,0,1,0,1,0,0,0
498,0,0,1,0,1,0,0,0
499,0,0,1,0,1,0,0,0
500,0,1,1,1,1,0,0,0
501,0,1,1,1,1,0,0,1
502,0,1,1,0,1,0,0,1
503,0,1,1,0,1,0,0,1
504,0,0,1,0,1,0,0,1
505,1,0,1,0,1,0,1,1
506,1,0,1,0,1,0,1,1
507,1,1,1,0,1,0,1,1
508,1,0,1,0,1,0,1,1
509,1,0,1,0,1,0,1,1
510,1,0,0,0,1,0,1,1
511,1,0,0,0,1,0,1,1
512,0,0,0,1,1,0,0,1
513,0,0,0,1,0,0,0,0
514,0,0,0,1,0,0,0,0
515,0,0,1,0,1,0,0,0
516,0,0,1,0,1,0,0,0
517,0,0,1,0,1,0,0,0
518,0,0,1,0,1,0,0,0
519,0,1,1,0,1,0,0,0
520,0,1,1,0,1,0,0,0
521,0,1,1,0,1,0,0,0
522,0,0,1,0,1,0,0,0
523,1,0,1,0,1,0,1,1
524,0,1,1,0,1,0,0,1
525,0,1,1,0,1,0,0,1
526,0,0,1,0,1,0,0,1
527,1,0,1,0,1,0,1,1
528,1,0,1,0,1,0,1,1
529,1,0,1,0,1,0,1,1
530,1,0,1,0,1,0,1,1
531,0,0,1,0,1,0,0,0
532,0,0,1,0,1,0,0,0
533,0,0,1,0,1,0,0,0
534,0,0,1,0,1,0,0,0
535,0,0,1,0,1,0,0,0
536,0,0,1,0,1,0,0,0
537,0,0,1,0,1,0,0,0
538,0,0,1,0,1,0,0,0
539,0,0,1,0,1,0,0,0
540,0,0,1,0,1,0,0,0
541,0,0,0,0,0,0,0,0
542,0,0,1,0,1,0,0,0
543,0,0,1,0,1,0,0,0
544,0,0,1,0,1,0,0,0
545,0,0,1,0,1,0,0,0
546,0,0,1,0,1,0,0,0
547,0,0,1,0,1,0,0,0
548,0,0,0,0,0,0,0,0
